App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
6108554,HDR,4/16/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107360,HDR,3/27/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6109399,HDR,4/29/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6104045,HDR,1/27/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6104485,HDR,2/5/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109276,HDR,4/27/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6108887,HDR,4/21/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108270,HDR,4/11/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6107896,HDR,4/6/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6107768,HDR,4/4/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109009,HDR,4/22/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6107722,HDR,4/3/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
5807124,HDR,7/25/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,"Fingerprints, copy of DMV lic, other. Visit www.nyc.gov/tlcup",5/12/2025 5:00
6103244,HDR,1/13/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6109461,HDR,4/30/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107368,HDR,3/27/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6104704,HDR,2/10/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6105948,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106520,HDR,3/12/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6107618,HDR,4/1/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6107642,HDR,4/2/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6109865,HDR,5/6/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108473,HDR,4/14/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,5/12/2025 5:00
6109541,HDR,5/1/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6109646,HDR,5/3/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6104660,HDR,2/8/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6107390,HDR,3/27/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107319,HDR,3/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6108757,HDR,4/18/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6108046,HDR,4/8/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6105899,HDR,3/2/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6109846,HDR,5/6/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106701,HDR,3/16/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6109126,HDR,4/24/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,5/12/2025 5:00
6109403,HDR,4/29/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108122,HDR,4/9/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6109576,HDR,5/1/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,5/12/2025 5:00
6106229,HDR,3/7/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6108871,HDR,4/21/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6109309,HDR,4/28/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,5/12/2025 5:00
6109333,HDR,4/28/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109660,HDR,5/3/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6109061,HDR,4/23/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108569,HDR,4/16/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6107794,HDR,4/4/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6107633,HDR,4/2/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6109428,HDR,4/29/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6106960,HDR,3/20/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6107069,HDR,3/22/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6109895,HDR,5/7/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106878,HDR,3/19/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,5/12/2025 5:00
6103939,HDR,1/25/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6091041,HDR,12/11/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,5/12/2025 5:00
6107487,HDR,3/30/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108328,HDR,4/12/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6105681,HDR,2/25/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6108618,HDR,4/16/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6103950,HDR,1/25/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108134,HDR,4/9/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed,5/12/2025 5:00
6108868,HDR,4/21/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6103958,HDR,1/25/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6110055,HDR,5/9/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109653,HDR,5/3/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107903,HDR,4/6/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6107198,HDR,3/25/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6105912,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109304,HDR,4/28/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6109213,HDR,4/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106910,HDR,3/19/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6105428,HDR,2/21/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
5921774,PDR,4/28/1997,Incomplete,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fingerprints & other items needed. Visit www.nyc.gov/tlcup,5/12/2025 5:00
6108844,HDR,4/21/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6105173,HDR,2/18/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6105697,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6109622,HDR,5/2/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6105789,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106362,HDR,3/10/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6105505,HDR,2/24/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6105886,HDR,3/1/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6109423,HDR,4/29/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6109251,HDR,4/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,5/12/2025 5:00
6104201,HDR,1/30/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106795,HDR,3/17/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109887,HDR,5/7/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6104168,HDR,1/29/2025,Pending Fitness Interview,4/29/2025,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6107801,HDR,4/4/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6107092,HDR,3/23/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6107860,HDR,4/5/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6107759,HDR,4/4/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,5/12/2025 5:00
6108502,HDR,4/15/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108293,HDR,4/11/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6105761,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106708,HDR,3/16/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6105987,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6104669,HDR,2/9/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109864,HDR,5/6/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6110111,HDR,5/10/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109268,HDR,4/27/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6104582,HDR,2/6/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,5/12/2025 5:00
6102618,HDR,1/2/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6106127,HDR,3/5/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6108528,HDR,4/15/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108676,HDR,4/17/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6109127,HDR,4/24/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,5/12/2025 5:00
6108245,HDR,4/11/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6109729,HDR,5/5/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6106798,HDR,3/17/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106302,HDR,3/10/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6108621,HDR,4/16/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,5/12/2025 5:00
6108978,HDR,4/22/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6106816,HDR,3/18/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,5/12/2025 5:00
6106714,HDR,3/16/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,5/12/2025 5:00
6108412,HDR,4/14/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6108405,HDR,4/14/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6106221,HDR,3/7/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6107238,HDR,3/25/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107862,HDR,4/5/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109341,HDR,4/28/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6109234,HDR,4/26/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6105041,HDR,2/15/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,5/12/2025 5:00
6109313,HDR,4/28/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6108557,HDR,4/16/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109740,HDR,5/5/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6109657,HDR,5/3/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,5/12/2025 5:00
6106496,HDR,3/12/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6109112,HDR,4/23/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,5/12/2025 5:00
6108226,HDR,4/10/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,5/12/2025 5:00
6109746,HDR,5/5/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106239,HDR,3/8/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109259,HDR,4/27/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107863,HDR,4/5/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6105403,HDR,2/21/2025,Denied,4/9/2025,Complete,Complete,Needed,Complete,Complete,Copy of DMV license needed,5/12/2025 5:00
6104322,HDR,2/3/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6110015,HDR,5/8/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107043,HDR,3/21/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,5/12/2025 5:00
6108800,HDR,4/19/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6108083,HDR,4/8/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,5/12/2025 5:00
5921773,PDR,4/28/1997,Incomplete,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fingerprints & other items needed. Visit www.nyc.gov/tlcup,5/12/2025 5:00
6110126,HDR,5/11/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109678,HDR,5/4/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6104645,HDR,2/8/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6106698,HDR,3/15/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6106377,HDR,3/11/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,5/12/2025 5:00
6104604,HDR,2/7/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6109001,HDR,4/22/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,5/12/2025 5:00
6107709,HDR,4/3/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,5/12/2025 5:00
6108920,HDR,4/21/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6108052,HDR,4/8/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6104619,HDR,2/7/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6107557,HDR,3/31/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,5/12/2025 5:00
6107562,HDR,3/31/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107065,VDR,3/22/2025,Approved - License Issued,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Not Applicable,5/12/2025 5:00
6108350,HDR,4/13/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,5/12/2025 5:00
6109424,HDR,4/29/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108721,HDR,4/18/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Copy of DMV license needed,5/12/2025 5:00
6109415,HDR,4/29/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6108190,HDR,4/10/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107983,HDR,4/7/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6108332,HDR,4/12/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6106026,HDR,3/4/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6105804,HDR,2/27/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,5/12/2025 5:00
6108164,HDR,4/10/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6107000,HDR,3/21/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6107950,HDR,4/7/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106018,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107284,HDR,3/25/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6103916,HDR,1/24/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109492,HDR,4/30/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6107927,HDR,4/7/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6108363,HDR,4/13/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6106490,HDR,3/12/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6107100,HDR,3/23/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6104816,HDR,2/11/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108060,HDR,4/8/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,5/12/2025 5:00
6106880,HDR,3/19/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6107300,HDR,3/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6106114,HDR,3/5/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,5/12/2025 5:00
6109407,HDR,4/29/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109468,HDR,4/30/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6103682,HDR,1/20/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107235,HDR,3/25/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,5/12/2025 5:00
6107062,HDR,3/22/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6108414,HDR,4/14/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6106764,HDR,3/17/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6105432,HDR,2/21/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6109824,HDR,5/6/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6105450,HDR,2/22/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed,5/12/2025 5:00
6105802,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,5/12/2025 5:00
6108224,HDR,4/10/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,5/12/2025 5:00
6108333,HDR,4/12/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,5/12/2025 5:00
6107779,HDR,4/4/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,5/12/2025 5:00
